City_ID,City Name,Latitude,Longitude,Temperature,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Country
133,Taber,49.8167,-112.1518,42.8,42.8,42.8,70,100,14.97,CA
134,Rosso,16.4986,-15.8153,72.57,72.57,72.57,15,100,12.8,SN
135,Grand Falls-Windsor,48.9332,-55.6649,19.51,19.51,19.51,83,24,3.0,CA
136,Rundu,-17.9333,19.7667,69.39,69.39,69.39,53,23,5.06,NA
137,Abepura,-2.6333,140.5833,79.61,79.61,79.61,94,40,2.3,ID
138,Flying Fish Cove,-10.4217,105.6791,82.08,82.08,82.08,89,100,10.36,CX
139,Pandan,14.0453,124.1694,83.95,83.95,83.95,77,100,11.95,PH
140,Arraial do Cabo,-22.9661,-42.0278,75.09,75.09,75.09,91,99,11.41,BR
141,College,64.8569,-147.8028,2.5,3.15,1.38,82,75,0.0,US
142,Gevrai,19.2667,75.75,76.84,76.84,76.84,44,65,4.97,IN
143,Bilibino,68.0546,166.4372,-16.44,-16.44,-16.44,83,9,4.29,RU
144,Gadzhiyevo,69.2551,33.3362,33.53,33.53,33.53,87,96,21.34,RU
145,Iqaluit,63.7506,-68.5145,4.69,4.73,4.69,71,75,16.11,CA
146,East London,-33.0153,27.9116,65.34,65.34,65.34,94,0,2.3,ZA
147,Talodi,10.6325,30.3797,76.57,76.57,76.57,34,24,5.82,SD
148,Lihue,21.9789,-159.3672,74.79,74.79,73.74,83,75,6.91,US
149,Newport,51.5877,-2.9984,45.54,46.54,44.53,78,100,31.21,GB
150,Aykhal,66.0,111.5,-7.65,-7.65,-7.65,97,98,9.89,RU
151,Sitka,57.0531,-135.33,39.09,39.09,39.09,87,75,0.0,US
152,Gaigeturi,33.4644,126.3183,46.45,46.45,46.45,57,75,12.66,KR
153,Riacho de Santana,-13.6092,-42.9389,72.63,72.63,72.63,63,32,4.74,BR
154,George Town,5.4112,100.3354,85.96,87.73,85.89,47,20,5.99,MY
155,Blackmans Bay,-43.0167,147.3167,62.91,63.52,62.73,49,22,8.01,AU
156,Kamina,-8.7386,24.9906,63.64,63.64,63.64,97,100,3.96,CD
157,San Patricio,28.017,-97.5169,51.75,51.75,51.75,83,100,5.03,US
158,Harstad,68.799,16.5293,35.62,37.15,35.62,97,100,27.0,NO
159,La Mira,18.035,-102.3266,73.89,73.89,73.89,86,73,3.94,MX
160,Happy Valley-Goose Bay,53.3168,-60.3315,14.31,14.31,14.31,73,100,11.5,CA
161,Valle de La Pascua,9.2155,-66.0073,74.23,74.23,74.23,81,72,7.58,VE
162,Papatowai,-46.5619,169.4708,75.09,75.09,75.09,46,26,11.68,NZ
